Module                  Size  Used by
ghash_clmulni_intel    16384  0
snd_rawmidi            57344  1 snd_seq_midi
sha256_ssse3           32768  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
sha1_ssse3             32768  0
aesni_intel           122880  8
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
processor_thermal_device_pci    16384  0
drm_buddy              24576  2 xe,i915
iwlwifi               638976  1 iwlmvm
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
processor_thermal_device    20480  1 processor_thermal_device_pci
ttm                   110592  3 drm_ttm_helper,xe,i915
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
rapl                   20480  0
snd                   143360  25 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
i2c_i801               36864  0
processor_thermal_rfim    36864  1 processor_thermal_device
drm_display_helper    278528  2 xe,i915
spi_intel_pci          12288  0
i2c_mux                16384  1 i2c_i801
processor_thermal_rapl    16384  1 processor_thermal_device
intel_cstate           24576  0
wmi_bmof               12288  0
cfg80211             1384448  3 iwlmvm,iwlwifi,mac80211
soundcore              16384  1 snd
cec                    94208  3 drm_display_helper,xe,i915
spi_intel              32768  1 spi_intel_pci
i2c_smbus              16384  1 i2c_i801
mei_me                 53248  2
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
rc_core                73728  1 cec
processor_thermal_wt_req    12288  1 processor_thermal_device
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
i2c_algo_bit           16384  2 xe,i915
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
igen6_edac             24576  0
ideapad_laptop         65536  0
sparse_keymap          12288  1 ideapad_laptop
int3403_thermal        16384  0
platform_profile       12288  1 ideapad_laptop
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_pmc_core        118784  0
int3400_thermal        24576  0
intel_vsec             20480  1 intel_pmc_core
acpi_thermal_rel       20480  1 int3400_thermal
pmt_telemetry          16384  1 intel_pmc_core
acpi_pad              184320  0
acpi_tad               20480  0
pmt_class              16384  1 pmt_telemetry
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
coretemp               24576  0
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
nvme_fabrics           36864  0
nvme_keyring           20480  1 nvme_fabrics
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_multitouch         36864  0
hid_generic            12288  0
nvme                   61440  2
rtsx_pci_sdmmc         36864  0
ucsi_acpi              12288  0
video                  77824  3 ideapad_laptop,xe,i915
crc32_pclmul           12288  0
intel_lpss_pci         28672  0
nvme_core             221184  4 nvme,nvme_fabrics
rtsx_pci              143360  1 rtsx_pci_sdmmc
typec_ucsi             65536  1 ucsi_acpi
intel_lpss             12288  1 intel_lpss_pci
nvme_auth              28672  1 nvme_core
xhci_pci               24576  0
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
typec                 110592  1 typec_ucsi
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
hid                   262144  4 i2c_hid,usbhid,hid_multitouch,hid_generic
wmi                    28672  3 video,wmi_bmof,ideapad_laptop
pinctrl_alderlake      32768  1
